state,startdate,enddate,pollster,grade,samplesize,population,rawpoll_clinton,rawpoll_trump,adjpoll_clinton,adjpoll_trump,samplesizeadj
New York,2016-10-10,2016-10-14,Google Consumer Surveys,B,912.0,lv,47.36,27.7,52.97669,36.52203,912.0
New Jersey,2016-10-17,2016-10-25,SurveyMonkey,C-,590.0,lv,52.0,36.0,50.6121,37.78568,590.0
Kentucky,2016-09-09,2016-09-22,Ipsos,A-,322.0,lv,37.31,53.57,37.39173,54.19177,322.0
Idaho,2016-07-05,2016-07-16,Dan Jones & Associates,C+,601.0,lv,23.0,44.0,25.60045,47.92463,601.0
U.S.,2016-09-20,2016-09-24,Ipsos,A-,1076.0,lv,42.5,37.0,44.64125,39.71984,1076.0
Oklahoma,2016-08-09,2016-09-01,SurveyMonkey,C-,1041.0,rv,26.0,49.0,28.02706,54.43088,1041.0
California,2016-09-23,2016-09-29,Ipsos,A-,787.0,lv,63.67,23.74,63.50734,24.60938,787.0
West Virginia,2016-09-02,2016-09-22,Ipsos,A-,146.0,lv,34.55,51.74,34.52611,52.34463,146.0
Minnesota,2016-10-17,2016-10-25,SurveyMonkey,C-,566.0,lv,47.0,36.0,45.61527,37.82809,566.0
Wisconsin,2016-10-04,2016-10-09,Google Consumer Surveys,B,738.0,lv,44.29,27.22,50.30817,36.13344,738.0
Maryland,2016-08-09,2016-09-01,SurveyMonkey,C-,1199.0,rv,54.0,27.0,56.04261,32.45483,1199.0
U.S.,2016-09-19,2016-09-23,Ipsos,A-,1122.0,lv,40.3,36.7,42.49006,39.42564,1122.0
Oregon,2016-09-27,2016-10-03,Google Consumer Surveys,B,438.0,lv,48.01,26.47,54.82162,35.35327,438.0
Connecticut,2016-10-17,2016-10-25,SurveyMonkey,C-,515.0,lv,50.0,36.0,48.62166,37.91373,515.0
Tennessee,2016-10-17,2016-10-25,SurveyMonkey,C-,572.0,lv,38.0,49.0,36.60154,50.64423,572.0
Vermont,2016-09-14,2016-09-20,Google Consumer Surveys,B,61.0,lv,43.99,18.62,51.92705,27.63206,61.0
U.S.,2016-07-12,2016-08-08,Pew Research Center,B+,3810.0,rv,50.0,46.0,50.18081,48.15261,3810.0
U.S.,2016-07-13,2016-07-16,CNN/Opinion Research Corp.,A-,872.0,rv,42.0,37.0,45.47681,40.88499,872.0
California,2016-10-10,2016-10-14,Google Consumer Surveys,B,1166.0,lv,48.27,26.89,53.88747,35.71762,1166.0
Indiana,2016-10-17,2016-10-25,SurveyMonkey,C-,688.0,lv,35.0,48.0,33.59919,49.61279,688.0
U.S.,2016-10-01,2016-10-07,CVOTER International,C+,1286.0,lv,47.74,46.71,45.52362,44.59248,1286.0
New Mexico,2016-08-09,2016-09-01,SurveyMonkey,C-,1788.0,rv,37.0,29.0,39.24093,34.76038,1788.0
Hawaii,2016-09-07,2016-09-13,Google Consumer Surveys,B,90.0,lv,40.16,21.25,48.1922,30.44106,90.0
North Carolina,2016-06-21,2016-06-23,"National Research, Inc.",B+,600.0,lv,42.0,40.0,45.07899,44.6973,600.0
Massachusetts,2016-09-27,2016-10-03,Google Consumer Surveys,B,465.0,lv,50.2,22.82,57.21436,32.12146,465.0
New Mexico,2016-09-02,2016-09-22,Ipsos,A-,137.0,lv,46.94,37.92,43.87446,35.48956,137.0
U.S.,2016-07-12,2016-07-16,"RKM Research and Communications, Inc.",B+,1007.0,lv,43.7,41.4,46.60976,44.32052,1007.0
U.S.,2016-10-09,2016-10-15,USC Dornsife/LA Times,,2946.0,lv,43.88,44.5,44.9152,43.33186,2946.0
Wisconsin,2016-06-11,2016-06-20,Greenberg Quinlan Rosner (Democracy Corps),B-,300.0,lv,44.0,32.0,45.77541,36.89966,300.0
Arizona,2016-06-11,2016-06-20,Greenberg Quinlan Rosner (Democracy Corps),B-,300.0,lv,39.0,45.0,40.72752,49.82533,300.0
Arkansas,2016-09-02,2016-09-22,Ipsos,A-,280.0,lv,41.08,49.15,40.95242,49.6102,280.0
Wisconsin,2016-10-17,2016-10-25,SurveyMonkey,C-,1351.0,lv,43.0,41.0,41.61399,42.81098,1351.0
New Hampshire,2016-09-21,2016-09-26,Google Consumer Surveys,B,39.0,lv,40.36,38.63,48.03972,47.65478,39.0
Kentucky,2016-08-26,2016-09-15,Ipsos,A-,437.0,lv,35.33,53.99,35.49559,54.92559,437.0
U.S.,2016-06-10,2016-06-13,Selzer & Company,A+,750.0,lv,49.0,37.0,51.91375,40.89461,750.0
Connecticut,2016-08-09,2016-09-01,SurveyMonkey,C-,1053.0,rv,44.0,33.0,46.35487,38.93592,1053.0
U.S.,2016-10-17,2016-10-19,The Times-Picayune/Lucid,,1822.0,lv,47.0,35.0,47.37939,40.14175,1822.0
U.S.,2016-09-18,2016-09-22,Ipsos,A-,1098.0,lv,41.0,35.9,43.22294,38.64167,1098.0
U.S.,2016-07-09,2016-07-13,NBC News/Wall Street Journal,A-,1000.0,rv,41.0,35.0,44.86918,42.10005,1000.0
Maryland,2016-09-09,2016-09-22,Ipsos,A-,435.0,lv,50.27,33.88,50.31316,34.45374,435.0
U.S.,2016-07-22,2016-07-24,CNN/Opinion Research Corp.,A-,882.0,rv,39.0,44.0,43.85397,46.11,882.0
Delaware,2016-09-14,2016-09-20,Google Consumer Surveys,B,85.0,lv,41.23,30.04,48.77344,38.54924,85.0
Nebraska,2016-09-21,2016-09-26,Google Consumer Surveys,B,207.0,lv,29.03,38.05,36.3629,46.58503,207.0
Alabama,2016-09-27,2016-10-03,Google Consumer Surveys,B,357.0,lv,19.45,56.59,25.94269,64.81541,357.0
Kansas,2016-09-02,2016-09-22,Ipsos,A-,314.0,lv,35.91,50.8,34.88639,50.40985,314.0
District of Columbia,2016-09-07,2016-09-13,Google Consumer Surveys,B,73.0,lv,38.8,32.39,47.06968,41.88916,73.0
Massachusetts,2016-08-09,2016-09-01,SurveyMonkey,C-,1167.0,rv,48.0,29.0,50.67745,35.4329,1167.0
Nevada,2016-09-02,2016-09-22,Ipsos,A-,294.0,lv,45.03,45.02,44.67836,45.2776,294.0
Maine,2016-06-15,2016-06-21,University of New Hampshire,B+,475.0,lv,42.0,35.0,41.76123,38.11454,475.0
Georgia,2016-09-27,2016-10-03,Google Consumer Surveys,B,599.0,lv,28.89,43.74,35.41066,52.02312,599.0
Missouri,2016-09-09,2016-09-22,Ipsos,A-,356.0,lv,35.23,50.79,34.75795,50.8541,356.0
U.S.,2016-09-17,2016-09-21,Ipsos,A-,1121.0,lv,38.3,37.7,40.54563,40.46896,1121.0
U.S.,2016-09-30,2016-10-06,CVOTER International,C+,1250.0,lv,47.74,46.7,45.60236,44.54169,1250.0
Iowa,2016-06-24,2016-06-28,Loras College,B-,600.0,lv,44.0,31.0,47.51849,36.62016,600.0
Iowa,2016-09-02,2016-09-22,Ipsos,A-,344.0,lv,40.51,50.74,40.32405,51.20504,344.0
Kentucky,2016-07-05,2016-07-07,Google Consumer Surveys,B,776.0,a,28.3,33.6,35.53333,44.41558,776.0
U.S.,2016-10-27,2016-10-28,Google Consumer Surveys,B,943.0,lv,37.1,36.6,42.52401,43.17819,943.0
Pennsylvania,2016-09-23,2016-09-29,Ipsos,A-,500.0,lv,45.23,42.35,44.89769,42.98726,500.0
U.S.,2016-10-04,2016-10-06,Rasmussen Reports/Pulse Opinion Research,C+,1500.0,lv,43.0,42.0,44.40402,45.37598,1500.0
U.S.,2016-10-03,2016-10-03,Gravis Marketing,B-,1690.0,rv,44.0,44.0,44.97039,46.57917,1690.0
South Dakota,2016-09-14,2016-09-20,Google Consumer Surveys,B,75.0,lv,31.03,30.11,38.72207,38.8091,75.0
Indiana,2016-09-09,2016-09-22,Ipsos,A-,367.0,lv,34.92,53.53,33.72852,52.86674,367.0
Pennsylvania,2016-10-04,2016-10-09,Google Consumer Surveys,B,737.0,lv,39.65,33.6,45.60035,42.24408,737.0
U.S.,2016-06-26,2016-06-29,Suffolk University,B+,1000.0,lv,39.0,35.0,41.85593,39.40303,1000.0
Nevada,2016-09-27,2016-10-03,Google Consumer Surveys,B,120.0,lv,35.2,33.06,41.90156,41.71625,120.0
U.S.,2016-10-08,2016-10-14,USC Dornsife/LA Times,,2870.0,lv,44.1,44.24,45.15894,43.04033,2870.0
Kentucky,2016-10-17,2016-10-25,SurveyMonkey,C-,366.0,lv,29.0,60.0,27.60242,61.65599,366.0
Michigan,2016-09-23,2016-09-29,Ipsos,A-,375.0,lv,39.35,39.05,38.55206,39.27967,375.0
Ohio,2016-10-04,2016-10-09,Google Consumer Surveys,B,794.0,lv,32.41,35.84,38.39372,44.61663,794.0
Georgia,2016-10-17,2016-10-25,SurveyMonkey,C-,2235.0,lv,44.0,47.0,42.58572,48.43226,2235.0
U.S.,2016-09-16,2016-09-20,Ipsos,A-,1130.0,lv,37.4,36.6,39.66214,39.40598,1130.0
Tennessee,2016-08-09,2016-09-01,SurveyMonkey,C-,1021.0,rv,31.0,51.0,33.067,56.49242,1021.0
Nebraska,2016-09-02,2016-09-22,Ipsos,A-,169.0,lv,30.94,54.47,30.58887,54.7441,169.0
Alaska,2016-09-14,2016-09-20,Google Consumer Surveys,B,56.0,lv,20.82,39.24,28.58439,48.0315,56.0
New Mexico,2016-09-21,2016-09-26,Google Consumer Surveys,B,194.0,lv,37.92,26.02,45.28189,34.59597,194.0
U.S.,2016-09-26,2016-09-27,Morning Consult,,1253.0,lv,41.0,38.0,44.03934,42.34446,1253.0
U.S.,2016-09-29,2016-10-05,CVOTER International,C+,1257.0,lv,47.26,47.36,45.20859,45.15476,1257.0
Montana,2016-08-26,2016-09-15,Ipsos,A-,113.0,lv,39.04,52.31,37.47355,51.59832,113.0
Connecticut,2016-09-02,2016-09-22,Ipsos,A-,440.0,lv,47.33,37.36,47.28612,37.98264,440.0
Ohio,2016-10-17,2016-10-25,SurveyMonkey,C-,1951.0,lv,40.0,45.0,38.60645,46.70992,1951.0
New Jersey,2016-10-04,2016-10-09,Google Consumer Surveys,B,618.0,lv,40.3,34.19,46.30955,43.06918,618.0
Nevada,2016-09-21,2016-09-26,Google Consumer Surveys,B,173.0,lv,33.96,34.44,41.24585,42.90859,173.0
Oregon,2016-09-09,2016-09-22,Ipsos,A-,381.0,lv,43.63,41.36,43.3494,41.68458,381.0
U.S.,2016-09-22,2016-09-24,Morning Consult,,1712.0,lv,38.0,39.0,41.41467,43.22527,1712.0
Mississippi,2016-09-21,2016-09-26,Google Consumer Surveys,B,172.0,lv,25.49,52.31,32.43539,60.29781,172.0
Kentucky,2016-08-09,2016-09-01,SurveyMonkey,C-,732.0,rv,29.0,52.0,31.07956,57.51176,732.0
Oregon,2016-10-17,2016-10-25,SurveyMonkey,C-,576.0,lv,51.0,32.0,49.62019,33.89398,576.0
Tennessee,2016-09-09,2016-09-22,Ipsos,A-,447.0,lv,33.39,47.02,33.5697,47.73653,447.0
Arizona,2016-10-17,2016-10-25,SurveyMonkey,C-,1550.0,lv,41.0,42.0,39.61088,43.76933,1550.0
Oregon,2016-06-23,2016-06-27,icitizen,,555.0,rv,46.0,32.0,47.83164,36.64644,555.0
Michigan,2016-09-27,2016-09-27,Mitchell Research & Communications,D,1956.0,lv,46.0,41.0,46.53078,42.97752,1956.0
Arkansas,2016-09-21,2016-09-26,Google Consumer Surveys,B,131.0,lv,28.09,45.52,35.31273,53.89944,131.0
Rhode Island,2016-09-07,2016-09-13,Google Consumer Surveys,B,53.0,lv,37.65,30.19,45.91748,39.6863,53.0
Ohio,2016-09-23,2016-09-29,Ipsos,A-,557.0,lv,44.36,42.81,43.81821,43.28287,557.0
Delaware,2016-08-26,2016-09-15,Ipsos,A-,115.0,lv,43.33,28.07,43.19708,28.71817,115.0
Maine,2016-09-14,2016-09-20,Google Consumer Surveys,B,59.0,lv,33.3,35.15,41.22431,44.14578,59.0
Montana,2016-09-14,2016-09-20,Google Consumer Surveys,B,159.0,lv,32.75,28.94,40.48983,37.70012,159.0
Michigan,2016-06-11,2016-06-20,Greenberg Quinlan Rosner (Democracy Corps),B-,300.0,lv,48.0,33.0,49.69152,37.76945,300.0
North Dakota,2016-09-07,2016-09-13,Google Consumer Surveys,B,71.0,lv,26.31,45.08,34.3108,54.23033,71.0
Vermont,2016-09-07,2016-09-13,Google Consumer Surveys,B,72.0,lv,49.71,18.36,57.82103,27.65333,72.0
U.S.,2016-07-29,2016-08-04,IBD/TIPP,A-,851.0,rv,39.0,35.0,44.0336,41.27857,851.0
Virginia,2016-09-27,2016-10-03,Google Consumer Surveys,B,629.0,lv,40.86,27.0,47.50591,35.54146,629.0
Oklahoma,2016-09-02,2016-09-22,Ipsos,A-,332.0,lv,29.57,54.94,28.41424,54.36033,332.0
U.S.,2016-09-15,2016-09-19,Ipsos,A-,1110.0,lv,37.4,39.2,39.682,42.03649,1110.0
Texas,2016-10-17,2016-10-25,SurveyMonkey,C-,2148.0,lv,40.0,47.0,38.6013,48.64093,2148.0
U.S.,2016-10-07,2016-10-13,USC Dornsife/LA Times,,2879.0,lv,44.2,43.88,45.30413,42.63774,2879.0
New Jersey,2016-08-09,2016-09-01,SurveyMonkey,C-,912.0,rv,49.0,34.0,51.21809,39.72519,912.0
Illinois,2016-10-04,2016-10-09,Google Consumer Surveys,B,1025.0,lv,39.07,29.52,45.04517,38.26265,1025.0
Wyoming,2016-09-07,2016-09-13,Google Consumer Surveys,B,63.0,lv,16.57,58.22,24.41425,67.16723,63.0
U.S.,2016-09-28,2016-10-04,CVOTER International,C+,1274.0,lv,47.1,47.83,45.13787,45.56964,1274.0
Maine,2016-09-07,2016-09-13,Google Consumer Surveys,B,88.0,lv,33.34,27.83,41.43749,37.10577,88.0
U.S.,2016-09-27,2016-10-03,Google Consumer Surveys,B,22006.0,lv,38.55,33.51,45.24836,42.15966,5000.0
U.S.,2016-10-16,2016-10-18,The Times-Picayune/Lucid,,1639.0,lv,46.0,36.0,46.41181,41.26712,1639.0
North Carolina,2016-09-27,2016-10-03,Google Consumer Surveys,B,734.0,lv,31.28,41.89,37.86388,50.3035,734.0
Colorado,2016-10-17,2016-10-25,SurveyMonkey,C-,1595.0,lv,44.0,38.0,42.61779,39.86179,1595.0
Pennsylvania,2016-10-17,2016-10-25,SurveyMonkey,C-,2131.0,lv,48.0,42.0,46.59914,43.612,2131.0
West Virginia,2016-09-14,2016-09-20,Google Consumer Surveys,B,82.0,lv,19.42,35.52,27.06054,44.15328,82.0
New Hampshire,2016-09-07,2016-09-13,Google Consumer Surveys,B,75.0,lv,34.66,34.38,42.86279,43.79239,75.0
Illinois,2016-09-16,2016-09-22,Ipsos,A-,426.0,lv,53.43,30.81,53.52977,31.42543,426.0
Louisiana,2016-09-02,2016-09-22,Ipsos,A-,369.0,lv,35.79,51.87,36.02374,52.63188,369.0
Kansas,2016-09-21,2016-09-26,Google Consumer Surveys,B,252.0,lv,42.95,30.92,50.3071,39.48919,252.0
Washington,2016-09-27,2016-10-03,Google Consumer Surveys,B,569.0,lv,45.41,24.67,52.24176,33.59483,569.0
Idaho,2016-08-26,2016-09-15,Ipsos,A-,176.0,lv,31.94,56.14,31.41261,56.44347,176.0
Arizona,2016-09-16,2016-09-29,Ipsos,A-,533.0,lv,44.13,45.74,43.73918,46.02051,533.0
Colorado,2016-06-21,2016-06-24,YouGov,B,996.0,lv,40.0,39.0,43.74041,43.59026,996.0
Louisiana,2016-09-21,2016-09-26,Google Consumer Surveys,B,221.0,lv,30.6,45.73,37.64731,53.86173,221.0
Hawaii,2016-09-14,2016-09-20,Google Consumer Surveys,B,42.0,lv,43.2,31.59,51.06284,40.50726,42.0
Colorado,2016-09-27,2016-10-03,Google Consumer Surveys,B,558.0,lv,38.58,28.19,45.37133,37.03143,558.0
Texas,2016-10-04,2016-10-09,Google Consumer Surveys,B,958.0,lv,31.75,39.97,37.71021,48.65324,958.0
Delaware,2016-09-07,2016-09-13,Google Consumer Surveys,B,103.0,lv,33.9,28.33,41.59289,37.08086,103.0
Kansas,2016-06-04,2016-06-06,Zogby Interactive/JZ Analytics,C-,433.0,rv,43.0,36.0,44.06337,41.34155,433.0
Georgia,2016-05-27,2016-05-30,Public Policy Polling,B+,724.0,v,38.0,45.0,40.28816,48.99729,724.0
Kansas,2016-07-11,2016-07-21,Fort Hays State University,C-,542.0,lv,27.0,44.0,31.53495,47.38951,542.0
U.S.,2016-09-14,2016-09-18,Ipsos,A-,1087.0,lv,38.7,39.7,41.00661,42.5626,1087.0
Oregon,2016-08-26,2016-09-15,Ipsos,A-,508.0,lv,44.19,40.95,44.01286,41.63072,508.0
U.S.,2016-09-27,2016-10-03,CVOTER International,C+,1275.0,lv,47.34,48.51,45.46378,46.19554,1275.0
Mississippi,2016-09-14,2016-09-20,Google Consumer Surveys,B,246.0,lv,17.14,54.84,24.32954,62.89716,246.0
West Virginia,2016-08-26,2016-09-15,Ipsos,A-,146.0,lv,38.76,49.23,38.79807,50.08559,146.0
Minnesota,2016-09-27,2016-10-03,Google Consumer Surveys,B,578.0,lv,37.89,28.42,44.6601,37.21762,578.0
Arizona,2016-09-27,2016-10-03,Google Consumer Surveys,B,579.0,lv,38.76,32.92,45.49306,41.64124,579.0
Michigan,2016-09-09,2016-09-22,Ipsos,A-,632.0,lv,42.97,41.67,42.49048,41.75297,632.0
New York,2016-10-17,2016-10-25,SurveyMonkey,C-,1169.0,lv,58.0,31.0,56.60896,32.74352,1169.0
New Hampshire,2016-08-26,2016-09-15,Ipsos,A-,176.0,lv,48.47,38.66,48.07941,39.23057,176.0
U.S.,2016-09-13,2016-09-17,Ipsos,A-,1137.0,lv,40.4,38.4,42.73427,41.29131,1137.0
California,2016-10-17,2016-10-25,SurveyMonkey,C-,1923.0,lv,54.0,31.0,52.60926,32.74765,1923.0
Minnesota,2016-09-09,2016-09-22,Ipsos,A-,510.0,lv,42.86,35.94,42.25097,35.91811,510.0
Mississippi,2016-08-26,2016-09-15,Ipsos,A-,173.0,lv,37.2,51.15,37.66637,52.26472,173.0
U.S.,2016-10-15,2016-10-17,The Times-Picayune/Lucid,,1641.0,lv,45.0,36.0,45.43769,41.37117,1641.0
U.S.,2016-10-06,2016-10-12,USC Dornsife/LA Times,,2838.0,lv,44.16,44.28,45.31009,43.00685,2838.0
North Carolina,2016-06-21,2016-06-24,YouGov,B,988.0,lv,44.0,42.0,47.35064,46.00307,988.0
Oklahoma,2016-09-21,2016-09-26,Google Consumer Surveys,B,163.0,lv,22.59,35.91,29.77837,44.24092,163.0
Arkansas,2016-09-14,2016-09-20,Google Consumer Surveys,B,179.0,lv,36.41,35.42,43.91448,43.87947,179.0
North Carolina,2016-10-17,2016-10-25,SurveyMonkey,C-,1825.0,lv,47.0,43.0,45.5932,44.53257,1825.0
U.S.,2016-07-31,2016-08-02,Fox News/Anderson Robbins Research/Shaw & Company Research,A,1022.0,rv,44.0,35.0,48.19122,41.70842,1022.0
Idaho,2016-09-14,2016-09-20,Google Consumer Surveys,B,144.0,lv,18.72,43.51,26.39607,52.18867,144.0
Connecticut,2016-09-21,2016-09-26,Google Consumer Surveys,B,291.0,lv,37.53,31.5,44.98434,40.20651,291.0
Missouri,2016-09-27,2016-10-03,Google Consumer Surveys,B,611.0,lv,38.49,29.66,45.14269,38.21545,611.0
Washington,2016-09-09,2016-09-22,Ipsos,A-,429.0,lv,49.39,35.21,49.32199,35.75592,429.0
U.S.,2016-07-11,2016-07-14,ABC News/Washington Post,A+,543.0,lv,45.0,39.0,46.22692,41.98976,543.0
Nevada,2016-09-14,2016-09-20,Google Consumer Surveys,B,236.0,lv,32.23,33.54,39.80617,42.09105,236.0
Indiana,2016-04-26,2016-04-28,Marist College,A,2149.0,rv,41.0,48.0,37.88643,51.7179,2149.0
Florida,2016-06-25,2016-06-27,SurveyUSA,A,1678.0,lv,46.0,42.0,47.46618,44.92581,1678.0
U.S.,2016-07-08,2016-07-12,CBS News/New York Times,A-,1358.0,rv,36.0,36.0,40.40231,42.26572,1358.0
U.S.,2016-07-05,2016-07-06,Zogby Interactive/JZ Analytics,C-,1257.0,lv,41.0,38.0,44.45365,44.66807,1257.0
Kentucky,2016-09-21,2016-09-26,Google Consumer Surveys,B,320.0,lv,32.6,35.16,39.83096,43.55107,320.0
Michigan,2016-09-27,2016-10-03,Google Consumer Surveys,B,657.0,lv,37.61,30.85,44.32334,39.53054,657.0
New Mexico,2016-08-26,2016-09-15,Ipsos,A-,141.0,lv,37.79,43.19,34.78744,41.0132,141.0
New York,2016-09-16,2016-09-22,Ipsos,A-,535.0,lv,52.85,34.06,53.25204,34.993,535.0
Massachusetts,2016-09-09,2016-09-22,Ipsos,A-,509.0,lv,53.52,30.28,53.62059,31.07381,509.0
Virginia,2016-07-06,2016-07-10,Hampton University,B,805.0,lv,38.8,39.2,42.12725,39.97872,805.0
Wisconsin,2016-09-09,2016-09-22,Ipsos,A-,526.0,lv,41.12,41.09,41.174,41.72646,526.0
Colorado,2016-09-09,2016-09-22,Ipsos,A-,391.0,lv,42.05,43.82,41.16293,43.52929,391.0
U.S.,2016-09-26,2016-10-02,CVOTER International,C+,1285.0,lv,46.89,49.38,45.09567,47.01201,1285.0
U.S.,2016-07-21,2016-07-22,Echelon Insights,,742.0,lv,42.0,41.0,46.33205,43.58588,742.0
Texas,2016-09-16,2016-09-22,Ipsos,A-,462.0,lv,32.6,48.1,32.4696,48.47384,462.0
U.S.,2016-09-12,2016-09-16,Ipsos,A-,1127.0,lv,42.1,37.3,44.45187,40.23436,1127.0
Tennessee,2016-09-21,2016-09-26,Google Consumer Surveys,B,449.0,lv,25.38,47.7,32.60078,56.07669,449.0
Arkansas,2016-08-26,2016-09-15,Ipsos,A-,286.0,lv,41.34,51.28,41.26805,51.97454,286.0
Florida,2016-10-04,2016-10-09,Google Consumer Surveys,B,893.0,lv,36.85,37.09,42.82755,45.84213,893.0
Rhode Island,2016-08-31,2016-09-06,Google Consumer Surveys,B,65.0,lv,41.18,23.5,49.56853,33.35373,65.0
U.S.,2016-10-05,2016-10-11,USC Dornsife/LA Times,,2868.0,lv,44.35,43.95,45.53951,42.6463,2868.0
U.S.,2016-10-14,2016-10-16,The Times-Picayune/Lucid,,1640.0,lv,43.0,38.0,43.48021,43.43917,1640.0
Texas,2016-06-10,2016-06-20,YouGov,B,1200.0,rv,32.0,39.0,36.70123,45.26503,1200.0
North Carolina,2016-06-14,2016-06-18,TargetPoint,C,200.0,lv,39.0,45.0,39.82144,46.87377,200.0
Pennsylvania,2016-06-14,2016-06-18,TargetPoint,C,200.0,lv,45.0,41.0,45.81408,42.91685,200.0
Ohio,2016-06-14,2016-06-18,TargetPoint,C,200.0,lv,46.0,43.0,46.64001,44.80494,200.0
Nevada,2016-06-14,2016-06-18,TargetPoint,C,200.0,lv,45.0,46.0,45.4889,47.65979,200.0
New Hampshire,2016-06-14,2016-06-18,TargetPoint,C,200.0,lv,44.0,40.0,44.42424,41.88364,200.0
U.S.,2016-07-22,2016-07-24,CBS News/New York Times,A-,1118.0,rv,39.0,40.0,44.73825,44.4207,1118.0
Maine,2016-08-26,2016-09-15,Ipsos,A-,213.0,lv,41.0,39.71,40.62424,40.25821,213.0
Hawaii,2016-08-31,2016-09-06,Google Consumer Surveys,B,90.0,lv,47.31,27.69,55.45412,37.21156,90.0
Maine,2016-08-31,2016-09-06,Google Consumer Surveys,B,114.0,lv,37.56,28.42,45.77195,38.03374,114.0
U.S.,2016-09-20,2016-09-21,Rasmussen Reports/Pulse Opinion Research,C+,1000.0,lv,39.0,44.0,41.72409,47.0469,1000.0
U.S.,2016-09-11,2016-09-15,Ipsos,A-,1155.0,lv,41.5,38.6,43.87251,41.57885,1155.0
South Dakota,2016-09-07,2016-09-13,Google Consumer Surveys,B,82.0,lv,22.75,43.0,30.60078,51.9557,82.0
New York,2016-10-04,2016-10-09,Google Consumer Surveys,B,875.0,lv,41.72,30.76,47.71518,39.58212,875.0
Florida,2016-09-23,2016-09-29,Ipsos,A-,701.0,lv,47.55,46.4,47.81997,47.6763,701.0
California,2016-10-04,2016-10-09,Google Consumer Surveys,B,1234.0,lv,47.55,27.38,53.54659,36.20771,1234.0
U.S.,2016-10-05,2016-10-09,Rasmussen Reports/Pulse Opinion Research,C+,1500.0,lv,45.0,38.0,46.23004,41.39557,1500.0
Michigan,2016-10-17,2016-10-25,SurveyMonkey,C-,1663.0,lv,44.0,40.0,42.60854,41.73801,1663.0
U.S.,2016-09-25,2016-10-01,CVOTER International,C+,1288.0,lv,47.53,49.02,45.81719,46.59973,1288.0
Iowa,2016-09-21,2016-09-26,Google Consumer Surveys,B,362.0,lv,36.2,29.81,43.60867,38.45201,362.0
Iowa,2016-08-09,2016-09-01,SurveyMonkey,C-,1875.0,rv,36.0,40.0,38.29858,45.84919,1875.0
Indiana,2016-09-27,2016-10-03,Google Consumer Surveys,B,616.0,lv,35.1,32.52,41.73442,41.03777,616.0
U.S.,2016-10-04,2016-10-10,USC Dornsife/LA Times,,2969.0,lv,43.26,45.28,44.49962,43.94233,2969.0
North Dakota,2016-08-31,2016-09-06,Google Consumer Surveys,B,84.0,lv,23.8,45.58,31.91151,55.05724,84.0
South Carolina,2016-08-26,2016-09-15,Ipsos,A-,314.0,lv,43.47,50.55,43.59454,51.36518,314.0
U.S.,2016-07-01,2016-07-05,Penn Schoen Berland,B-,1000.0,lv,40.0,36.0,43.47426,40.1102,1000.0
South Carolina,2016-09-21,2016-09-26,Google Consumer Surveys,B,319.0,lv,28.3,45.73,35.34471,53.85806,319.0
Kansas,2016-08-26,2016-09-15,Ipsos,A-,309.0,lv,38.88,49.42,37.91911,49.28283,309.0
U.S.,2016-09-10,2016-09-14,Ipsos,A-,1162.0,lv,42.2,36.9,44.59697,39.90471,1162.0
Alaska,2016-06-16,2016-06-20,Ivan Moore Research,C,670.0,rv,30.0,39.0,34.68407,45.15783,670.0
U.S.,2016-10-17,2016-10-23,SurveyMonkey,C-,32225.0,lv,46.0,41.0,44.61705,42.86125,5000.0
Ohio,2016-06-11,2016-06-20,Greenberg Quinlan Rosner (Democracy Corps),B-,300.0,lv,41.0,41.0,42.65921,45.71931,300.0
North Carolina,2016-06-11,2016-06-20,Greenberg Quinlan Rosner (Democracy Corps),B-,300.0,lv,48.0,38.0,49.45533,42.40284,300.0
Nevada,2016-06-11,2016-06-20,Greenberg Quinlan Rosner (Democracy Corps),B-,300.0,lv,44.0,44.0,45.67003,48.7361,300.0
Pennsylvania,2016-06-11,2016-06-20,Greenberg Quinlan Rosner (Democracy Corps),B-,300.0,lv,45.0,36.0,46.54665,40.54459,300.0
New Hampshire,2016-05-25,2016-05-28,"RKM Research and Communications, Inc.",B+,405.0,lv,44.0,44.0,43.61693,44.24414,405.0
Nebraska,2016-08-26,2016-09-15,Ipsos,A-,175.0,lv,31.74,51.22,31.45031,51.74373,175.0
Alabama,2016-09-21,2016-09-26,Google Consumer Surveys,B,361.0,lv,29.18,48.39,36.17859,56.45293,361.0
Nevada,2016-08-26,2016-09-15,Ipsos,A-,293.0,lv,37.63,41.48,37.33732,41.9807,293.0
U.S.,2016-06-23,2016-06-28,Greenberg Quinlan Rosner (Democracy Corps),B-,900.0,lv,48.0,37.0,49.76582,41.71917,900.0
Iowa,2016-08-26,2016-09-15,Ipsos,A-,347.0,lv,40.55,49.46,40.42949,50.18518,347.0
U.S.,2016-10-13,2016-10-15,The Times-Picayune/Lucid,,1647.0,lv,45.0,37.0,45.5158,42.50616,1647.0
Texas,2016-08-09,2016-09-01,SurveyMonkey,C-,5147.0,rv,40.0,40.0,42.06347,45.48698,5000.0
Wisconsin,2016-08-09,2016-09-01,SurveyMonkey,C-,2687.0,rv,39.0,37.0,41.24512,42.76683,2687.0
Montana,2016-08-19,2016-09-08,Ipsos,A-,114.0,lv,29.77,60.2,28.20701,59.74952,114.0
